FID,STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,STAIDT
0,01011000,"Allagash River near Allagash, Maine",Non-ref,NorthEast,3186.844,01,47.069611,-69.079544,ME," ",yes,78,60,20,T01011000
1,01013500,"Fish River near Fort Kent, Maine",Ref,NorthEast,2252.696,01,47.237394,-68.582642,ME,yes,yes,85,60,20,T01013500
2,01015800,"Aroostook River near Masardis, Maine",Non-ref,NorthEast,2313.755,01,46.523003,-68.371764,ME," ",yes,51,51,19,T01015800
3,01016500,"MACHIAS RIVER NEAR ASHLAND, ME",Non-ref,NorthEast,847.7721,01,46.628311,-68.434792,ME," "," ",32,32,0,T01016500
4,01017000,"Aroostook River at Washburn, Maine",Non-ref,NorthEast,4278.907,01,46.777294,-68.157194,ME," ",yes,79,60,20,T01017000
5,01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",Non-ref,NorthEast,14.8644,01,46.783611,-67.989167,ME," ",yes,0,0,0,T01017060
6,01017290,"Little Madawaska River at Caribou, Maine",Non-ref,NorthEast,594.576,01,46.88861,-67.945,ME," ",yes,1,1,1,T01017290
7,01017550,"Williams Brook at Phair, Maine",Ref,NorthEast,10.0323,01,46.628056,-67.953056,ME," ",yes,9,9,9,T01017550
8,01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",Non-ref,NorthEast,226.2537,01,46.105,-67.881389,ME," ",yes,6,6,6,T01017960
9,01018000,"Meduxnekeag River near Houlton, Maine",Non-ref,NorthEast,450.4734,01,46.104917,-67.866631,ME," ",yes,47,39,6,T01018000
10,01018009,"Pearce Brook at Route 1 at Houlton, Maine",Non-ref,NorthEast,19.5192,01,46.11528,-67.84028,ME," ",yes,1,1,1,T01018009
11,01019000,"Grand Lake Stream at Grand Lake Stream, Maine",Non-ref,NorthEast,620.6238,01,45.172522,-67.7688,ME," ",yes,80,60,20,T01019000
12,01021200,"DENNYS RIVER AT DENNYSVILLE, ME",Non-ref,NorthEast,242.8407,01,44.901489,-67.247619,ME," ",yes,51,51,17,T01021200
13,01021470,"Libby Brook near Northfield, Maine",Ref,NorthEast,16.1001,01,44.800833,-67.725,ME," ",yes,9,9,9,T01021470
14,01021480,"Old Stream near Wesley, Maine",Ref,NorthEast,76.73849,01,44.936944,-67.736111,ME," ",yes,11,11,11,T01021480
15,01021500,"Machias River at Whitneyville, Maine",Non-ref,NorthEast,1184.14,01,44.722994,-67.520478,ME," ",yes,70,35,7,T01021500
16,01022260,"Pleasant River near Epping, Maine",Ref,NorthEast,161.9937,01,44.697778,-67.787222,ME," ",yes,18,18,9,T01022260
